['S11', 1]
['S1377', 0.009176414704357446]
['S11263', 0.00917641470435744]
['S1367', 0.00917641470435743]
['S11092', 0.00917641470435743]
['S11564', 0.00917641470435743]
['S1721', 0.009161767584558762]
['S1711', 0.008376882217664442]
['S11621', 0.008338890663766363]
['S11587', 0.007492511231282755]
['S11600', 0.007492511231282747]
['S199', 0.007096674655363835]
['S1836', 0.007093379631562864]
['S1450', 0.007002353186072262]
['S11430', 0.0067098983957973105]
['S11579', 0.006332327745719819]
['S11038', 0.00611760980290496]
['S11456', 0.005417846305378632]
['S12193', 0.003521017625376319]
['S1684', 0.00350117659303617]
['S12035', 0.0034683587478465897]
['S1784', 0.0031291314425026936]
['S11745', 0.0029164560413359854]
['S11177', 0.0028261412971090725]
['S1148', 0.0020515280875496454]
['S1963', 0.0008419083402725214]
['S113', 1.1904265616158856e-16]
['S11473', 1.1904265616158856e-16]
['S11097', 5.952132808079428e-17]
['S12047', 5.3237494279889245e-17]
['S11925', 4.859896087024598e-17]
['S14', 0]
['S112', 0]
['S118', 0]
['S121', 0]
['S122', 0]
['S125', 0]
['S133', 0]
['S135', 0]
['S136', 0]
['S137', 0]
['S138', 0]
['S147', 0]
['S151', 0]
['S152', 0]
['S155', 0]
['S157', 0]
['S161', 0]
['S162', 0]
['S163', 0]
['S164', 0]
['S165', 0]
['S166', 0.0]
['S168', 0]
['S169', 0]
['S170', 0]
['S171', 0]
['S172', 0]
['S175', 0.0]
['S182', 0]
['S183', 0]
['S186', 0.0]
['S187', 0]
['S189', 0]
['S190', 0]
['S191', 0]
['S194', 0.0]
['S195', 0]
['S196', 0]
['S1100', 0.0]
['S1101', 0]
['S1102', 0]
['S1103', 0]
['S1105', 0]
['S1112', 0]
['S1115', 0]
['S1118', 0.0]
['S1120', 0]
['S1121', 0]
['S1123', 0]
['S1124', 0]
['S1125', 0]
['S1128', 0]
['S1129', 0]
['S1130', 0]
['S1131', 0]
['S1132', 0]
['S1137', 0]
['S1138', 0]
['S1139', 0]
['S1140', 0.0]
['S1143', 0]
['S1146', 0]
['S1150', 0]
['S1155', 0]
['S1159', 0]
['S1160', 0]
['S1162', 0]
['S1163', 0]
['S1170', 0]
['S1174', 0]
['S1180', 0]
['S1181', 0]
['S1182', 0]
['S1183', 0.0]
['S1184', 0]
['S1187', 0]
['S1188', 0]
['S1192', 0]
['S1194', 0]
['S1195', 0]
['S1196', 0]
['S1199', 0]
['S1201', 0]
['S1202', 0]
['S1206', 0]
['S1207', 0]
['S1208', 0]
['S1209', 0]
['S1210', 0]
['S1211', 0]
['S1212', 0]
['S1217', 0.0]
['S1218', 0]
['S1219', 0]
['S1224', 0]
['S1225', 0]
['S1228', 0]
['S1229', 0]
['S1233', 0]
['S1237', 0]
['S1242', 0]
['S1247', 0]
['S1248', 0]
['S1254', 0]
['S1255', 0]
['S1262', 0]
['S1264', 0]
['S1266', 0]
['S1271', 0]
['S1272', 0]
['S1273', 0]
['S1274', 0]
['S1275', 0]
['S1278', 0]
['S1279', 0]
['S1280', 0]
['S1281', 0]
['S1288', 0]
['S1289', 0]
['S1290', 0]
['S1293', 0.0]
['S1295', 0.0]
['S1296', 0]
['S1297', 0]
['S1298', 0]
['S1300', 0]
['S1301', 0]
['S1304', 0]
['S1306', 0]
['S1307', 0]
['S1308', 0]
['S1309', 0]
['S1312', 0]
['S1314', 0]
['S1316', 0]
['S1317', 0.0]
['S1319', 0]
['S1321', 0]
['S1323', 0]
['S1324', 0.0]
['S1326', 0.0]
['S1327', 0]
['S1328', 0]
['S1329', 0]
['S1330', 0]
['S1332', 0.0]
['S1334', 0]
['S1336', 0]
['S1337', 0]
['S1339', 0.0]
['S1341', 0]
['S1343', 0]
['S1344', 0.0]
['S1346', 0]
['S1351', 0]
['S1354', 0]
['S1357', 0]
['S1360', 0]
['S1364', 0]
['S1365', 0.0]
['S1366', 0]
['S1369', 0]
['S1381', 0]
['S1383', 0]
['S1384', 0]
['S1385', 0]
['S1387', 0]
['S1389', 0]
['S1390', 0]
['S1391', 0.0]
['S1392', 0]
['S1405', 0]
['S1410', 0.0]
['S1411', 0]
['S1412', 0.0]
['S1414', 0]
['S1416', 0]
['S1417', 0]
['S1418', 0]
['S1419', 0]
['S1420', 0]
['S1421', 0]
['S1426', 0]
['S1429', 0]
['S1430', 0]
['S1433', 0.0]
['S1434', 0.0]
['S1437', 0]
['S1438', 0]
['S1439', 0]
['S1441', 0]
['S1442', 0]
['S1443', 0.0]
['S1446', 0]
['S1447', 0]
['S1448', 0.0]
['S1454', 0]
['S1458', 0]
['S1462', 0]
['S1463', 0]
['S1464', 0]
['S1465', 0]
['S1467', 0]
['S1468', 0]
['S1472', 0]
['S1481', 0]
['S1483', 0]
['S1486', 0]
['S1487', 0]
['S1488', 0]
['S1490', 0]
['S1491', 0]
['S1495', 0]
['S1496', 0]
['S1498', 0.0]
['S1500', 0]
['S1501', 0]
['S1503', 0]
['S1504', 0]
['S1508', 0]
['S1510', 0]
['S1512', 0]
['S1515', 0]
['S1516', 0]
['S1518', 0]
['S1519', 0]
['S1520', 0]
['S1530', 0.0]
['S1543', 0.0]
['S1544', 0.0]
['S1548', 0]
['S1550', 0]
['S1552', 0]
['S1556', 0]
['S1557', 0]
['S1559', 0]
['S1560', 0]
['S1561', 0]
['S1563', 0]
['S1565', 0.0]
['S1566', 0.0]
['S1567', 0]
['S1568', 0]
['S1569', 0.0]
['S1571', 0]
['S1575', 0]
['S1576', 0]
['S1577', 0.0]
['S1578', 0]
['S1579', 0.0]
['S1580', 0]
['S1581', 0.0]
['S1585', 0]
['S1586', 0]
['S1587', 0.0]
['S1588', 0.0]
['S1589', 0]
['S1591', 0]
['S1592', 0]
['S1593', 0]
['S1595', 0]
['S1596', 0]
['S1597', 0]
['S1598', 0]
['S1599', 0.0]
['S1600', 0.0]
['S1602', 0]
['S1603', 0]
['S1606', 0]
['S1609', 0]
['S1616', 0.0]
['S1625', 0]
['S1632', 0]
['S1635', 0]
['S1636', 0]
['S1637', 0]
['S1641', 0.0]
['S1643', 0.0]
['S1644', 0]
['S1651', 0]
['S1652', 0]
['S1655', 0.0]
['S1661', 0.0]
['S1664', 0.0]
['S1669', 0]
['S1670', 0.0]
['S1671', 0.0]
['S1672', 0]
['S1679', 0.0]
['S1680', 0]
['S1683', 0]
['S1685', 0]
['S1687', 0]
['S1690', 0]
['S1692', 0]
['S1693', 0.0]
['S1694', 0]
['S1698', 0]
['S1701', 0]
['S1704', 0]
['S1706', 0]
['S1722', 0]
['S1727', 0.0]
['S1728', 0.0]
['S1739', 0.0]
['S1745', 0.0]
['S1746', 0]
['S1748', 0]
['S1752', 0.0]
['S1758', 0.0]
['S1766', 0]
['S1769', 0.0]
['S1774', 0.0]
['S1782', 0.0]
['S1785', 0]
['S1786', 0.0]
['S1790', 0.0]
['S1794', 0]
['S1804', 0.0]
['S1807', 0.0]
['S1809', 0]
['S1810', 0]
['S1813', 0]
['S1814', 0]
['S1816', 0.0]
['S1818', 0]
['S1819', 0]
['S1821', 0]
['S1824', 0]
['S1829', 0.0]
['S1830', 0]
['S1832', 0]
['S1833', 0]
['S1838', 0]
['S1839', 0]
['S1840', 0]
['S1854', 0.0]
['S1857', 0.0]
['S1859', 0.0]
['S1864', 0.0]
['S1865', 0]
['S1873', 0]
['S1874', 0.0]
['S1875', 0]
['S1878', 0]
['S1881', 0.0]
['S1882', 0]
['S1883', 0.0]
['S1885', 0]
['S1888', 0]
['S1889', 0]
['S1892', 0]
['S1895', 0]
['S1897', 0]
['S1900', 0]
['S1903', 0]
['S1905', 0]
['S1906', 0]
['S1907', 0]
['S1908', 0]
['S1912', 0]
['S1913', 0]
['S1917', 0]
['S1918', 0]
['S1920', 0]
['S1921', 0]
['S1924', 0]
['S1927', 0]
['S1928', 0]
['S1930', 0.0]
['S1933', 0]
['S1936', 0]
['S1940', 0]
['S1945', 0.0]
['S1948', 0]
['S1950', 0.0]
['S1951', 0]
['S1952', 0]
['S1954', 0]
['S1956', 0]
['S1957', 0]
['S1959', 0]
['S1962', 0]
['S1964', 0]
['S1967', 0]
['S1973', 0]
['S1975', 0]
['S1976', 0]
['S1977', 0]
['S1978', 0]
['S1981', 0]
['S1986', 0]
['S1987', 0.0]
['S1991', 0]
['S1992', 0]
['S1993', 0.0]
['S1996', 0]
['S1997', 0]
['S1998', 0]
['S1999', 0]
['S11003', 0.0]
['S11006', 0]
['S11009', 0]
['S11010', 0]
['S11017', 0.0]
['S11020', 0]
['S11025', 0]
['S11027', 0]
['S11030', 0]
['S11034', 0]
['S11037', 0]
['S11039', 0]
['S11042', 0]
['S11046', 0]
['S11047', 0]
['S11054', 0]
['S11057', 0.0]
['S11058', 0]
['S11068', 0]
['S11069', 0.0]
['S11070', 0]
['S11071', 0]
['S11074', 0.0]
['S11081', 0]
['S11082', 0]
['S11083', 0]
['S11087', 0]
['S11088', 0]
['S11093', 0]
['S11098', 0]
['S11099', 0]
['S11104', 0]
['S11107', 0.0]
['S11112', 0]
['S11114', 0]
['S11115', 0]
['S11117', 0]
['S11119', 0.0]
['S11120', 0.0]
['S11121', 0]
['S11122', 0]
['S11123', 0.0]
['S11124', 0]
['S11125', 0]
['S11128', 0.0]
['S11131', 0]
['S11132', 0]
['S11146', 0.0]
['S11147', 0.0]
['S11151', 0]
['S11152', 0]
['S11153', 0]
['S11154', 0]
['S11155', 0]
['S11157', 0]
['S11158', 0.0]
['S11159', 0.0]
['S11160', 0]
['S11161', 0]
['S11162', 0]
['S11163', 0]
['S11169', 0.0]
['S11179', 0]
['S11181', 0.0]
['S11187', 0]
['S11194', 0]
['S11196', 0]
['S11198', 0]
['S11200', 0.0]
['S11201', 0]
['S11202', 0]
['S11204', 0]
['S11205', 0]
['S11210', 0]
['S11211', 0]
['S11212', 0]
['S11213', 0]
['S11220', 0]
['S11223', 0]
['S11225', 0]
['S11226', 0.0]
['S11227', 0]
['S11229', 0]
['S11233', 0]
['S11238', 0]
['S11249', 0]
['S11251', 0]
['S11252', 0]
['S11258', 0]
['S11260', 0.0]
['S11261', 0]
['S11266', 0]
['S11267', 0]
['S11268', 0]
['S11273', 0]
['S11283', 0.0]
['S11289', 0]
['S11290', 0]
['S11291', 0]
['S11297', 0]
['S11298', 0.0]
['S11302', 0]
['S11303', 0]
['S11304', 0]
['S11306', 0]
['S11307', 0]
['S11308', 0.0]
['S11309', 0]
['S11310', 0.0]
['S11314', 0.0]
['S11315', 0]
['S11316', 0]
['S11317', 0.0]
['S11319', 0]
['S11320', 0]
['S11324', 0]
['S11326', 0]
['S11327', 0]
['S11328', 0]
['S11329', 0]
['S11330', 0.0]
['S11331', 0]
['S11332', 0]
['S11333', 0]
['S11335', 0]
['S11336', 0]
['S11337', 0]
['S11340', 0]
['S11342', 0]
['S11343', 0]
['S11349', 0]
['S11350', 0]
['S11351', 0]
['S11355', 0.0]
['S11358', 0]
['S11360', 0.0]
['S11363', 0]
['S11365', 0]
['S11367', 0]
['S11370', 0]
['S11372', 0.0]
['S11373', 0]
['S11374', 0.0]
['S11378', 0.0]
['S11379', 0.0]
['S11381', 0.0]
['S11384', 0.0]
['S11385', 0]
['S11387', 0]
['S11388', 0]
['S11395', 0.0]
['S11397', 0]
['S11399', 0]
['S11401', 0]
['S11402', 0]
['S11404', 0]
['S11407', 0]
['S11409', 0]
['S11410', 0]
['S11414', 0]
['S11419', 0.0]
['S11421', 0]
['S11424', 0]
['S11425', 0]
['S11427', 0]
['S11428', 0]
['S11429', 0]
['S11433', 0.0]
['S11443', 0]
['S11450', 0.0]
['S11457', 0]
['S11459', 0]
['S11461', 0]
['S11467', 0]
['S11475', 0]
['S11476', 0]
['S11478', 0]
['S11479', 0]
['S11481', 0]
['S11483', 0]
['S11486', 0.0]
['S11488', 0.0]
['S11491', 0]
['S11492', 0]
['S11493', 0]
['S11495', 0.0]
['S11500', 0]
['S11502', 0.0]
['S11503', 0]
['S11507', 0]
['S11508', 0]
['S11510', 0]
['S11511', 0]
['S11512', 0]
['S11516', 0]
['S11518', 0]
['S11519', 0]
['S11520', 0]
['S11521', 0]
['S11522', 0]
['S11523', 0]
['S11524', 0]
['S11525', 0.0]
['S11530', 0]
['S11533', 0]
['S11534', 0]
['S11535', 0]
['S11537', 0]
['S11540', 0]
['S11542', 0.0]
['S11547', 0]
['S11549', 0.0]
['S11551', 0]
['S11556', 0]
['S11557', 0]
['S11558', 0.0]
['S11561', 0]
['S11563', 0]
['S11569', 0]
['S11570', 0]
['S11571', 0.0]
['S11572', 0.0]
['S11573', 0]
['S11577', 0]
['S11581', 0]
['S11583', 0.0]
['S11591', 0.0]
['S11593', 0]
['S11594', 0]
['S11596', 0.0]
['S11597', 0]
['S11599', 0]
['S11601', 0]
['S11602', 0.0]
['S11603', 0]
['S11604', 0]
['S11606', 0]
['S11607', 0]
['S11608', 0.0]
['S11609', 0]
['S11610', 0]
['S11611', 0]
['S11612', 0]
['S11627', 0]
['S11632', 0]
['S11638', 0]
['S11642', 0.0]
['S11643', 0]
['S11644', 0.0]
['S11645', 0]
['S11646', 0.0]
['S11647', 0]
['S11648', 0.0]
['S11650', 0]
['S11652', 0]
['S11655', 0]
['S11656', 0]
['S11657', 0.0]
['S11658', 0]
['S11659', 0.0]
['S11665', 0]
['S11667', 0]
['S11668', 0.0]
['S11669', 0]
['S11671', 0]
['S11672', 0]
['S11674', 0]
['S11675', 0]
['S11676', 0]
['S11678', 0]
['S11681', 0]
['S11686', 0]
['S11692', 0.0]
['S11693', 0]
['S11698', 0]
['S11699', 0]
['S11700', 0]
['S11705', 0]
['S11706', 0]
['S11710', 0]
['S11711', 0]
['S11712', 0.0]
['S11713', 0]
['S11714', 0]
['S11723', 0]
['S11726', 0]
['S11727', 0.0]
['S11728', 0]
['S11730', 0]
['S11732', 0]
['S11735', 0]
['S11736', 0]
['S11739', 0]
['S11741', 0.0]
['S11744', 0]
['S11747', 0]
['S11749', 0.0]
['S11750', 0]
['S11752', 0]
['S11753', 0.0]
['S11755', 0]
['S11756', 0]
['S11757', 0.0]
['S11758', 0]
['S11759', 0.0]
['S11760', 0]
['S11761', 0]
['S11762', 0]
['S11763', 0]
['S11766', 0.0]
['S11776', 0]
['S11779', 0]
['S11781', 0.0]
['S11783', 0.0]
['S11785', 0]
['S11787', 0.0]
['S11789', 0]
['S11790', 0]
['S11791', 0]
['S11805', 0]
['S11807', 0]
['S11808', 0]
['S11809', 0.0]
['S11810', 0]
['S11811', 0.0]
['S11813', 0.0]
['S11814', 0]
['S11815', 0]
['S11816', 0]
['S11822', 0]
['S11828', 0]
['S11829', 0]
['S11834', 0]
['S11837', 0.0]
['S11838', 0.0]
['S11841', 0.0]
['S11842', 0]
['S11844', 0]
['S11847', 0]
['S11849', 0.0]
['S11852', 0.0]
['S11853', 0]
['S11856', 0]
['S11857', 0.0]
['S11858', 0]
['S11859', 0.0]
['S11861', 0]
['S11867', 0]
['S11868', 0]
['S11873', 0]
['S11874', 0]
['S11875', 0]
['S11876', 0]
['S11879', 0]
['S11880', 0]
['S11881', 0]
['S11882', 0]
['S11883', 0]
['S11885', 0]
['S11886', 0]
['S11887', 0]
['S11889', 0.0]
['S11890', 0]
['S11900', 0]
['S11901', 0.0]
['S11903', 0]
['S11909', 0]
['S11910', 0]
['S11914', 0]
['S11917', 0.0]
['S11919', 0.0]
['S11920', 0.0]
['S11921', 0]
['S11922', 0]
['S11923', 0]
['S11927', 0]
['S11928', 0]
['S11929', 0]
['S11930', 0]
['S11931', 0]
['S11932', 0]
['S11940', 0]
['S11945', 0.0]
['S11956', 0.0]
['S11962', 0]
['S11963', 0]
['S11964', 0]
['S11967', 0]
['S11968', 0]
['S11970', 0]
['S11973', 0.0]
['S11975', 0]
['S11978', 0]
['S11979', 0]
['S11981', 0]
['S11983', 0]
['S11984', 0]
['S11985', 0.0]
['S11986', 0]
['S11987', 0]
['S11989', 0]
['S11991', 0]
['S11992', 0.0]
['S11994', 0]
['S11997', 0]
['S12001', 0.0]
['S12002', 0]
['S12003', 0]
['S12004', 0]
['S12005', 0]
['S12006', 0.0]
['S12008', 0]
['S12010', 0]
['S12011', 0]
['S12015', 0]
['S12016', 0]
['S12018', 0]
['S12019', 0]
['S12023', 0]
['S12024', 0.0]
['S12028', 0]
['S12029', 0]
['S12031', 0]
['S12032', 0]
['S12033', 0.0]
['S12034', 0]
['S12036', 0]
['S12037', 0]
['S12043', 0]
['S12048', 0]
['S12050', 0]
['S12053', 0]
['S12054', 0.0]
['S12056', 0.0]
['S12057', 0.0]
['S12059', 0]
['S12060', 0]
['S12063', 0]
['S12065', 0]
['S12071', 0.0]
['S12075', 0]
['S12079', 0]
['S12082', 0.0]
['S12084', 0]
['S12087', 0]
['S12090', 0]
['S12091', 0.0]
['S12092', 0]
['S12098', 0]
['S12102', 0]
['S12105', 0]
['S12107', 0]
['S12108', 0]
['S12115', 0.0]
['S12116', 0]
['S12118', 0.0]
['S12119', 0]
['S12123', 0]
['S12124', 0]
['S12125', 0]
['S12130', 0]
['S12131', 0]
['S12133', 0]
['S12134', 0.0]
['S12135', 0]
['S12136', 0]
['S12138', 0]
['S12140', 0]
['S12144', 0.0]
['S12146', 0]
['S12147', 0]
['S12150', 0]
['S12157', 0]
['S12158', 0]
['S12160', 0]
['S12162', 0]
['S12163', 0]
['S12164', 0.0]
['S12165', 0]
['S12166', 0]
['S12167', 0]
['S12168', 0]
['S12171', 0.0]
['S12173', 0.0]
['S12174', 0]
['S12175', 0]
['S12178', 0.0]
['S12181', 0]
['S12183', 0]
['S12185', 0.0]
['S12186', 0]
['S12187', 0]
['S12200', 0]
['S12202', 0]
['S12205', 0.0]
['S12206', 0]
['S12207', 0]
['S12210', 0]
['S12211', 0.0]
['S12212', 0]
['S12213', 0.0]
['S12214', 0]
['S12215', 0]
['S12218', 0.0]
['S12219', 0]
['S12222', 0]
['S12227', 0]
['S12228', 0]
['S12230', 0]
['S12231', 0]
['S12232', 0]
['S12233', 0]
['S12235', 0]
['S12236', 0]
['S12237', 0]
['S12238', 0]
['S12239', 0]
['S12240', 0]
['S12244', 0]
['S12245', 0.0]
['S12246', 0]
['S12249', 0]
['S12251', 0.0]
['S12252', 0.0]
['S12253', 0]
['S12254', 0]
['S12256', 0]
['S12258', 0]
['S12259', 0]
['S12260', 0]
['S12262', 0]
['S12266', 0]
['S12269', 0]
['S12270', 0]
['S12271', 0.0]
['S12272', 0]
['S12273', 0]
['S12274', 0]
['S12280', 0]
['S12281', 0.0]
['S12283', 0]
['S12284', 0]
['S12288', 0.0]
['S12289', 0]
['S12292', 0]
['S12293', 0]
['S12294', 0]
['S12295', 0]
['S12297', 0]
['S12299', 0.0]
['S12300', 0]
['S12301', 0]
['S12302', 0]
['S12303', 0]
['S12307', 0]
['S12309', 0.0]
['S12310', 0]
['S12311', 0]
['S12312', 0]
['S12313', 0]
['S12314', 0]
['S12315', 0]
['S11743', -2.6304959194474316e-18]
['S12306', -5.952132808079428e-17]
['S12066', -0.0019744500737704828]
['S11248', -0.002386447459337416]
['S11484', -0.0029164560413359876]
['S1653', -0.0030588049014524787]
['S1741', -0.0031110959525570588]
['S11670', -0.0031382676121422043]
['S11575', -0.003932749159010337]
['S1737', -0.004707401418213306]
['S1546', -0.004988360768027297]
['S12027', -0.005516062996023223]
['S1850', -0.005923350221311526]
['S1152', -0.005923350221311534]
['S1677', -0.0059619240509819135]
['S1232', -0.006206922699508626]
['S11133', -0.0063323277457198145]
['S1277', -0.006332327745719819]
['S11552', -0.006332327745719819]
['S11135', -0.006349146706938664]
['S11702', -0.00673753563473304]
['S11106', -0.007378115029103903]
['S11190', -0.007492511231282767]
['S1792', -0.007939258849205814]
['S12189', -0.009498491618579729]
['S11455', -0.00959382753142312]
['S11995', -0.0098764504330157]
['S11631', -0.009990014975043681]
['S1781', -0.010832551010676508]
['S11532', -0.010967913385764813]
['S1699', -0.010967913385764815]
['S1480', -0.011338159809863703]
['S1555', -0.011846700442623063]
['S12191', -0.011846700442623063]
['S11831', -0.011846700442623113]
['S1136', -0.012373475063166906]
['S1358', -0.012977410128862174]
['S1291', -0.012977410128862197]
['S11100', -0.013511539729304665]
['S1547', -0.013544615763446614]
['S1205', -0.013821150516393588]
['S1749', -0.014509185610015064]
['S1431', -0.01506835621356928]
['S1243', -0.016753764435328868]
['S11799', -0.01675376443532888]
['S1204', -0.016753764435328885]
['S1767', -0.016753764435328885]
['S11651', -0.016753764435328885]
['S11934', -0.016753764435328885]
['S177', -0.016753764435328892]
['S1534', -0.016753764435328913]
['S11012', -0.0170425354784304]
['S1614', -0.01723807699761984]
['S11769', -0.017390906437921766]
['S1886', -0.017482526206326388]
['S1887', -0.018352829408714844]
['S11691', -0.01835282940871488]
['S11764', -0.01835282940871488]
['S1386', -0.01856021259475036]
['S11096', -0.019198015113170736]
['S12275', -0.019290957887917258]
['S11369', -0.0193455808133534]
['S1657', -0.019435139935378622]
['S1751', -0.019466115193293256]
['S1573', -0.01961999992151999]
['S12089', -0.019619999921519995]
['S1697', -0.019978771087977902]
['S11715', -0.02040572985904551]
['S1362', -0.020519087068671855]
['S11380', -0.020519087068671855]
['S11391', -0.020519087068671855]
['S12182', -0.020519087068671855]
['S11906', -0.020528659213139625]
['S11721', -0.020711509557422774]
['S1168', -0.02141163431016734]
['S11357', -0.021775732479123434]
['S11851', -0.02193582677152963]
['S12194', -0.022014754830261375]
['S11394', -0.022434891903121562]
['S11209', -0.022491882583719366]
['S1623', -0.022536919619519816]
['S1831', -0.02267631961972734]
['S1382', -0.023693400885246126]
['S1452', -0.023693400885246126]
['S1983', -0.023693400885246126]
['S11977', -0.023693400885246126]
['S11253', -0.025591797900117903]
['S11584', -0.02583480674651042]
['S11538', -0.025954820257724328]
['S1953', -0.026285468240578088]
['S11835', -0.026590750400157175]
['S1149', -0.02686579133816524]
['S1479', -0.027440086898119217]
['S11908', -0.027642301032787135]
['S11780', -0.027642301032787146]
['S11946', -0.027868084808847688]
['S11926', -0.027999863573013598]
['S1754', -0.02818822779588796]
['S11742', -0.028288282763257427]
['S1537', -0.0286941334319957]
['S188', -0.029018371220030127]
['S1119', -0.029018371220030127]
['S1252', -0.029018371220030127]
['S1253', -0.029018371220030127]
['S1478', -0.029018371220030127]
['S1633', -0.029018371220030127]
['S11043', -0.029018371220030127]
['S11077', -0.029018371220030127]
['S11203', -0.029018371220030127]
['S11420', -0.029018371220030127]
['S11496', -0.029018371220030127]
['S11562', -0.029018371220030127]
['S11568', -0.029018371220030127]
['S11718', -0.029018371220030127]
['S11784', -0.029018371220030127]
['S11830', -0.029018371220030127]
['S11846', -0.029018371220030127]
['S12121', -0.029018371220030127]
['S11396', -0.029368002762904754]
['S148', -0.02942999988228]
['S11863', -0.02981354231535094]
['S1157', -0.030105774790063648]
['S1634', -0.03024749987901004]
['S1709', -0.030655481350426065]
['S1541', -0.03080104177359367]
['S11531', -0.030933687657917264]
['S11818', -0.030933687657917264]
['S12278', -0.030952929301365468]
['S1372', -0.031262201471148866]
['S11487', -0.031597781995143924]
['S12156', -0.03224263468892238]
['S1931', -0.032467548668891996]
['S1526', -0.03254665787595002]
['S11060', -0.03350752887065776]
['S11294', -0.03350752887065776]
['S11703', -0.03350752887065776]
['S11008', -0.03350752887065777]
['S11696', -0.03350752887065777]
['S12070', -0.03350752887065777]
['S11738', -0.033507528870657784]
['S12234', -0.033507528870657784]
['S11957', -0.03395206314408002]
['S12012', -0.03396343457355501]
['S12000', -0.035215527393812895]
['S145', -0.03554010132786919]
['S1923', -0.03554010132786919]
['S12104', -0.03554010132786919]
['S1459', -0.03556641758569788]
['S11701', -0.036559711285882715]
['S11574', -0.036820904497604244]
['S1901', -0.03780784047078776]
['S11536', -0.03872778365253601]
['S11630', -0.03893223038658654]
['S11053', -0.03934699073527997]
['S1186', -0.039489001475410214]
['S1797', -0.03976446371888224]
['S1407', -0.04070411292630535]
['S1640', -0.040840670605968354]
['S1251', -0.04087499983649998]
['S1630', -0.041044958988863525]
['S1843', -0.04174705794689711]
['S1779', -0.04325803376287392]
['S11144', -0.04327090626241873]
['S1695', -0.04334277044302911]
['S11280', -0.0437792336941711]
['S11854', -0.04393254413939005]
['S1788', -0.04414325299399394]
['S11011', -0.044352671071060897]
['S11688', -0.0449550673876965]
['S1662', -0.045287143023892695]
['S11086', -0.04560500124600168]
['S1235', -0.046141902680398805]
['S12007', -0.047404118343981075]
['S11904', -0.04743165440880647]
['S11792', -0.049163410359368595]
['S11178', -0.04980040569249455]
['S11649', -0.049950074875218346]
['S1545', -0.050076209839311964]
['S1702', -0.05021228179427527]
['S144', -0.05029337839914009]
['S1165', -0.05133570191803322]
['S11105', -0.05133570191803327]
['S1461', -0.05133570191803328]
['S11156', -0.05133570191803328]
['S11452', -0.05133570191803328]
['S11812', -0.05133570191803328]
['S12196', -0.05133570191803328]
['S11239', -0.05146953990109702]
['S11237', -0.052319999790720016]
['S11616', -0.05276939788099844]
['S11640', -0.053240884091573765]
['S12103', -0.05435247981742839]
['S11164', -0.054880173796238406]
['S12149', -0.05558999977763999]
['S1761', -0.055845881451096285]
['S11224', -0.055845881451096285]
['S11116', -0.05584588145109631]
['S11796', -0.05584588145109631]
['S11958', -0.05584588145109631]
['S11614', -0.05619383423462065]
['S11192', -0.05662155584439645]
['S11050', -0.05962708463070188]
['S11938', -0.062129999751479974]
['S11235', -0.06220607665565626]
['S11798', -0.0626868464557189]
['S1469', -0.06287313764339861]
['S11281', -0.06318240236065631]
['S1733', -0.06369636140454613]
['S1725', -0.06417643781303681]
['S1158', -0.06417939041895028]
['S123', -0.06426252166776959]
['S11506', -0.06539999973839998]
['S11746', -0.06580871877553983]
['S1682', -0.0667882717855343]
['S1718', -0.06707848895072771]
['S11078', -0.06747275366105739]
['S12220', -0.06798101496075114]
['S1583', -0.0681026189924555]
['S1485', -0.06839695689557285]
['S1762', -0.06839695689557285]
['S12122', -0.06906505064814851]
['S1765', -0.06948639677212458]
['S1743', -0.06980735181387039]
['S11439', -0.07025278567686043]
['S1861', -0.07156982602080113]
['S11444', -0.07242760856906659]
['S1517', -0.07259964588642517]
['S11095', -0.07259964588642517]
['S11134', -0.07259964588642517]
['S1401', -0.07270975993850495]
['S11722', -0.07463053804535223]
['S1126', -0.07496412565174454]
['S11359', -0.0750291028032794]
['S11864', -0.0750291028032794]
['S11884', -0.0750291028032794]
['S1406', -0.07520999969915998]
['S11032', -0.07548429973804856]
['S12264', -0.07616606517892233]
['S11820', -0.076784767413068]
['S12216', -0.07692846407042736]
['S1827', -0.07700355287704987]
['S11654', -0.0795289274377644]
['S1729', -0.08043136482894198]
['S11526', -0.08050993807927179]
['S11035', -0.0816954814944302]
['S11782', -0.08170961932987296]
['S156', -0.08191704491406623]
['S1109', -0.08360733397303438]
['S11221', -0.0856476406985326]
['S180', -0.08601876563641576]
['S1715', -0.08651606752574784]
['S11356', -0.08723703475512905]
['S12225', -0.0872454044965841]
['S11839', -0.08758262533053068]
['S11515', -0.0882561982832595]
['S11446', -0.0889160439642447]
['S11916', -0.0889160439642447]
['S11454', -0.08935341032175396]
['S11206', -0.08935341032175402]
['S12106', -0.08935341032175423]
['S11026', -0.09070527847890943]
['S12192', -0.09082470339344353]
['S11111', -0.09189150886342874]
['S116', -0.0919516548616226]
['S1789', -0.09261793525756959]
['S179', -0.09512841406337481]
['S11188', -0.09547368973434495]
['S12195', -0.09551800255024606]
['S1844', -0.09853184321940878]
['S1618', -0.09872250368852553]
['S11045', -0.09949347765461]
['S1853', -0.10131724393151706]
['S1612', -0.10239765349419758]
['S1409', -0.10586195331820573]
['S1249', -0.10610717475708294]
['S11055', -0.10610717475708296]
['S11274', -0.10610717475708296]
['S11462', -0.10610717475708296]
['S11080', -0.1061071747570831]
